iter	Passed	Remaining
857	1876	310
858	1878	308
859	1880	306
860	1882	303
861	1884	301
862	1886	299
863	1888	297
864	1890	295
865	1892	292
866	1894	290
867	1896	288
868	1898	286
869	1900	284
870	1902	281
871	1904	279
872	1906	277
873	1908	275
874	1910	272
875	1912	270
876	1914	268
877	1916	266
878	1918	264
879	1920	261
880	1922	259
881	1924	257
882	1926	255
883	1928	253
884	1930	250
885	1932	248
886	1934	246
887	1936	244
888	1938	242
889	1940	239
890	1942	237
891	1944	235
892	1946	233
893	1948	231
894	1950	228
895	1952	226
896	1954	224
897	1956	222
898	1958	220
899	1960	217
900	1962	215
901	1964	213
902	1966	211
903	1968	209
904	1970	206
905	1972	204
906	1974	202
907	1976	200
908	1978	198
909	1980	195
910	1982	193
911	1984	191
912	1986	189
913	1988	187
914	1990	184
915	1992	182
916	1995	180
917	1997	178
918	1999	176
919	2001	174
920	2003	171
921	2005	169
922	2007	167
923	2009	165
924	2011	163
925	2013	160
926	2015	158
927	2017	156
928	2019	154
929	2021	152
930	2023	149
931	2025	147
932	2027	145
933	2029	143
934	2031	141
935	2033	139
936	2035	136
937	2037	134
938	2039	132
939	2041	130
940	2043	128
941	2045	125
942	2047	123
943	2049	121
944	2051	119
945	2053	117
946	2055	115
947	2057	112
948	2059	110
949	2061	108
950	2063	106
951	2065	104
952	2067	101
953	2069	99
954	2071	97
955	2073	95
956	2075	93
957	2077	91
958	2079	88
959	2081	86
960	2083	84
961	2085	82
962	2087	80
963	2089	78
964	2091	75
965	2093	73
966	2095	71
967	2098	69
968	2100	67
969	2102	65
970	2104	62
971	2106	60
972	2108	58
973	2110	56
974	2112	54
975	2114	51
976	2116	49
977	2118	47
978	2120	45
979	2122	43
980	2124	41
981	2126	38
982	2128	36
983	2130	34
984	2132	32
985	2134	30
986	2136	28
987	2138	25
988	2140	23
989	2142	21
990	2144	19
991	2146	17
992	2148	15
993	2150	12
994	2152	10
995	2154	8
996	2156	6
997	2158	4
998	2160	2
999	2162	0
